# This is a table giving the metadata for the allwise data release,
# in STIL ASCII format, with blank values represented by "---".
#
# Data files matching this format can be found at;
#    http://irsadist.ipac.caltech.edu/wise-allwise/
#
# Metadata was taken from:
#
#    http://irsadist.ipac.caltech.edu/wise-allwise/wise-allwise-cat-schema.txt
#       - column names and types
#
#    http://wise2.ipac.caltech.edu/docs/release/allwise/expsup/sec2_1a.html
#       - column units and nullability
#
# Gordon Richards (Drexel) contributed FITS-friendly (69-character)
# description text for each column culled from the sec2_1a file as well.
#
#
# name            type            unit       hasnull   col1
  w1cov           decimal(6,3)    ----       yes       "Mean pixel coverage in W1"
  w2cov           decimal(6,3)    ----       yes       "Mean pixel coverage in W2"
  w3cov           decimal(6,3)    ----       yes       "Mean pixel coverage in W3"
  w4cov           decimal(6,3)    ----       yes       "Mean pixel coverage in W4"
  w1cc_map        integer         ----       yes       "W1 contamination and confusion map (see expsup/sec2_1a.html)"
  w1cc_map_str    char(9)         ----       yes       "W1 contamination and confusion string (see expsup/sec2_1a.html)"
  w2cc_map        integer         ----       yes       "W2 contamination and confusion map (see expsup/sec2_1a.html)"
  w2cc_map_str    char(9)         ----       yes       "W2 contamination and confusion string (see expsup/sec2_1a.html)"
  w3cc_map        integer         ----       yes       "W3 contamination and confusion map (see expsup/sec2_1a.html)"
  w3cc_map_str    char(9)         ----       yes       "W3 contamination and confusion string (see expsup/sec2_1a.html)"
  w4cc_map        integer         ----       yes       "W4 contamination and confusion map (see expsup/sec2_1a.html)"
  w4cc_map_str    char(9)         ----       yes       "W4 contamination and confusion string (see expsup/sec2_1a.html)"
  best_use_cntr   int8            ----       yes       "Cntr identification value of the source extraction"
  ngrp            smallint        ----       yes       "Excess number of positionally associated duplicate resolution groups"
  w1flux          smallfloat      dn         yes       "Raw W1 source flux in units of digital numbers (DN)"
  w1sigflux       smallfloat      dn         yes       "Uncertainty in the \"raw\" W1 source flux measurement (DN)"
  w1sky           decimal(8,3)    dn         yes       "The trimmed average of the W1 sky background (DN)"
  w1sigsk         decimal(6,3)    dn         yes       "The uncertainty in the W1 sky background (DN)"
  w1conf          decimal(8,3)    dn         yes       "Estimated confusion noise in the W1 sky background annulus (DN)"
  w2flux          smallfloat      dn         yes       "Raw W2 source flux in units of digital numbers (DN)"
  w2sigflux       smallfloat      dn         yes       "Uncertainty in the \"raw\" W2 source flux measurement (DN)"
  w2sky           decimal(8,3)    dn         yes       "The trimmed average of the W2 sky background (DN)"
  w2sigsk         decimal(6,3)    dn         yes       "The uncertainty in the W2 sky background (DN)"
  w2conf          decimal(8,3)    dn         yes       "Estimated confusion noise in the W2 sky background annulus (DN)"
  w3flux          smallfloat      dn         yes       "Raw W3 source flux in units of digital numbers (DN)"
  w3sigflux       smallfloat      dn         yes       "Uncertainty in the \"raw\" W3 source flux measurement (DN)"
  w3sky           decimal(8,3)    dn         yes       "The trimmed average of the W3 sky background (DN)"
  w3sigsk         decimal(6,3)    dn         yes       "The uncertainty in the W3 sky background (DN)"
  w3conf          decimal(8,3)    dn         yes       "Estimated confusion noise in the W3 sky background annulus (DN)"
  w4flux          smallfloat      dn         yes       "Raw W4 source flux in units of digital numbers (DN)"
  w4sigflux       smallfloat      dn         yes       "Uncertainty in the \"raw\" W4 source flux measurement (DN)"
  w4sky           decimal(8,3)    dn         yes       "The trimmed average of the W4 sky background (DN)"
  w4sigsk         decimal(6,3)    dn         yes       "The uncertainty in the W4 sky background (DN)"
  w4conf          decimal(8,3)    dn         yes       "Estimated confusion noise in the W4 sky background annulus (DN)"
  w1mag           decimal(5,3)    mag        yes       "W1 \"standard\" aperture magnitude"
  w1sigm          decimal(4,3)    mag        yes       "Uncertainty in the W1 \"standard\" aperture magnitude"
  w1flg           integer         ----       yes       "W1 \"standard\" aperture magnitude quality flag (expsup/sec2_1a.html)"
  w1mcor          decimal(4,3)    mag        yes       "W1 aperture curve-of-growth correction, in magnitudes"
  w2mag           decimal(5,3)    mag        yes       "W2 \"standard\" aperture magnitude"
  w2sigm          decimal(4,3)    mag        yes       "Uncertainty in the W2 \"standard\" aperture magnitude"
  w2flg           integer         ----       yes       "W2 \"standard\" aperture magnitude quality flag (expsup/sec2_1a.html)"
  w2mcor          decimal(4,3)    mag        yes       "W2 aperture curve-of-growth correction, in magnitudes"
  w3mag           decimal(5,3)    mag        yes       "W3 \"standard\" aperture magnitude"
  w3sigm          decimal(4,3)    mag        yes       "Uncertainty in the W3 \"standard\" aperture magnitude"
  w3flg           integer         ----       yes       "W3 \"standard\" aperture magnitude quality flag (expsup/sec2_1a.html)"
  w3mcor          decimal(4,3)    mag        yes       "W3 aperture curve-of-growth correction, in magnitudes"
  w4mag           decimal(5,3)    mag        yes       "W4 \"standard\" aperture magnitude"
  w4sigm          decimal(4,3)    mag        yes       "Uncertainty in the W4 \"standard\" aperture magnitude"
  w4flg           integer         ----       yes       "W4 \"standard\" aperture magnitude quality flag (expsup/sec2_1a.html)"
  w4mcor          decimal(4,3)    mag        yes       "W4 aperture curve-of-growth correction, in magnitudes"
  w1mag_1         decimal(5,3)    mag        yes       "W1 5.5\" radius aperture magnitude"
  w1sigm_1        decimal(4,3)    mag        yes       "Uncertainty in the W1 5.5\" radius aperture magnitude"
  w1flg_1         integer         ----       yes       "W1 5.5\" radius aperture magnitude quality flag"
  w2mag_1         decimal(5,3)    mag        yes       "W2 5.5\" radius aperture magnitude"
  w2sigm_1        decimal(4,3)    mag        yes       "Uncertainty in the W2 5.5\" radius aperture magnitude"
  w2flg_1         integer         ----       yes       "W2 5.5\" radius aperture magnitude quality flag"
  w3mag_1         decimal(5,3)    mag        yes       "W3 5.5\" radius aperture magnitude"
  w3sigm_1        decimal(4,3)    mag        yes       "Uncertainty in the W3 5.5\" radius aperture magnitude"
  w3flg_1         integer         ----       yes       "W3 5.5\" radius aperture magnitude quality flag"
  w4mag_1         decimal(5,3)    mag        yes       "W4 11.0\" radius aperture magnitude"
  w4sigm_1        decimal(4,3)    mag        yes       "Uncertainty in the W4 11.0\" radius aperture magnitude"
  w4flg_1         integer         ----       yes       "W4 11.0\" radius aperture magnitude quality flag"
  w1mag_2         decimal(5,3)    mag        yes       "W1 8.25\" radius aperture magnitude"
  w1sigm_2        decimal(4,3)    mag        yes       "Uncertainty in the W1 8.25\" radius aperture magnitude"
  w1flg_2         integer         ----       yes       "W1 8.25\" radius aperture magnitude quality flag"
  w2mag_2         decimal(5,3)    mag        yes       "W2 8.25\" radius aperture magnitude"
  w2sigm_2        decimal(4,3)    mag        yes       "Uncertainty in the W2 8.25\" radius aperture magnitude"
  w2flg_2         integer         ----       yes       "W2 8.25\" radius aperture magnitude quality flag"
  w3mag_2         decimal(5,3)    mag        yes       "W3 8.25\" radius aperture magnitude"
  w3sigm_2        decimal(4,3)    mag        yes       "Uncertainty in the W3 8.25\" radius aperture magnitude"
  w3flg_2         integer         ----       yes       "W3 8.25\" radius aperture magnitude quality flag"
  w4mag_2         decimal(5,3)    mag        yes       "W4 16.5\" radius aperture magnitude"
  w4sigm_2        decimal(4,3)    mag        yes       "Uncertainty in the W4 16.5\" radius aperture magnitude"
  w4flg_2         integer         ----       yes       "W4 16.5\" radius aperture magnitude quality flag"
  w1mag_3         decimal(5,3)    mag        yes       "W1 11.0\" radius aperture magnitude"
  w1sigm_3        decimal(4,3)    mag        yes       "Uncertainty in the W1 11.0\" radius aperture magnitude"
